x0,Error,beta,phi,sigmaz0,deltaY,y,y1,y2,h1,h2,h3,beta1,beta2,x1,sumN,Vges,Vuncr,Vfpz,Vai,Vda,Fcc,Fct,Ffpz,FaiPa,FaiOr,Fs,rel_beta,rel_phi,rel_sigma,rel_deltaY,relN,beta_calc,phi_calc,sigmaz0_calc,deltaY_calc,wfpz,wbot0,wreinf,deltabot,deltak,epsilons,epsiloncr,epsilontop,tau0,sigmax0,sigma1
108.0,0.0009365363325061938,1.4771015335233466,0.00017091652445676742,0.011603975201401925,0.12641476950023794,1.1451344033313173,0.3435403209993952,0.8015940823319221,0.005996518608505183,0.013991876753178763,0.019988395361683946,1.5533430342749532,1.5533430342749532,70.85485605436082,-285.54453378496294,5670.434387875624,5667.916435625723,1.3840729594084027,0.5129695604626673,0.6209097300296805,21206.93240615032,9127.872840103657,79.30556536040817,0.5130525221355023,0.00027625351870483864,11714.230775735607,-0.0009327695753811316,-2.7043750045474546e-05,4.4576309420785165e-05,6.574807654491366e-05,-0.013464678828426446,1.4756676946410971,0.00017095599806315372,0.011800150138822142,0.14514394563917676,0.012170286111179587,0.012170286111179587,0.012307348008860207,0.00021140780955568257,3.4172284934108156e-06,9.768914175037357e-05,9.613801766580809e-05,-0.0001465376755538303,0.24330077511782514,2.576498873443657,2.5993755996666357
107.1,1.2804102642394289e-05,1.472825159083988,0.00017447038016444097,0.022844139910624076,2.3660280311198814,3.5161865967357855,1.0548559790207357,2.4613306177150496,0.10065080141781642,0.1455754010151018,0.24622620243291804,1.4756676946410971,1.5117201473981472,69.38380305236234,-3.3302064375591556,5760.532897612997,5721.94886595494,23.216772383595615,7.564123803673087,7.803135470787849,21284.59591392424,8933.109739444746,244.42510515591596,7.57815206735458,0.013689497071375628,12105.297079836266,-1.1312278844211043e-05,-2.825810981987864e-06,2.9890338046900666e-06,4.365531014238755e-06,-0.00015646087203283746,1.4727942030485301,0.00017448214330948125,0.022873704076647988,2.371062544306355,0.01223642259484526,0.01226991946550039,0.01270012941762142,0.0007081118877773194,4.2962196942497676e-05,0.00010095038291477132,9.608149902830679e-05,-0.00014831024090976658,0.2533209628245902,2.5749841739586214,2.599885691228928
106.19999999999999,7.437473165215386e-08,1.4636122536419702,0.000181941916445575,0.04672092723129349,3.862022956896653,7.378209553632439,2.2134628660897313,5.164746687542706,0.2176212164672562,0.4083078247980383,0.6259290412652949,1.4727942030485301,1.4919037132636468,66.42179029522285,0.011393604242584843,5894.89311121859,5801.139338831484,50.10420191389383,22.979960277645155,20.66961019556806,21823.080349809657,8536.663693395332,512.0755914039994,23.056067452815416,0.055746014206754346,12778.682224385677,4.2091090390883323e-08,1.6777998324002397e-08,-4.41225702640935e-08,3.9136151874785696e-08,5.220896436228453e-07,1.4636123152470057,0.00018194191949819617,0.04672092516984609,3.8620231080413703,0.012431583410227997,0.012451908335544673,0.013394524166082195,0.0009446888102249448,0.00011388272932674916,0.00010656598142037207,9.59119668258646e-05,-0.00015335104386127036,0.27472370516621847,2.5704407109331715,2.6
105.3,8.360261338442374e-08,1.4534008972099635,0.00019018593573095073,0.07240302238654726,3.917576967444872,11.295844294030088,3.3887532882090263,7.907091005821061,0.36461753435245053,0.6828347628274791,1.0474522971799294,1.4636123152470057,1.4846527771257056,63.404155509555274,-0.01339527700497456,6048.41354215452,5889.661660827287,83.78267263172216,38.843506976617626,36.12570171889278,22426.92707074402,8131.084481549897,783.1700674752883,38.99693654354977,0.10258976639936909,13520.610902183826,-5.3602049465695245e-08,3.3650111586069897e-09,-3.9890762359995335e-08,5.013602533132655e-08,-5.972854400747898e-07,1.4534006216754431,0.00019018610168709398,0.07240347406538372,3.9176349368122843,0.012637602078129,0.012661945342052897,0.014171361158029984,0.0010238477039762352,0.00019921086843349543,0.00011275318885734859,9.570308830593105e-05,-0.00015894124158937522,0.29809948155677524,2.5648427665989524,2.6
104.39999999999999,9.866159564547472e-08,1.4419497060733544,0.00019929881212495094,0.10117158313789697,3.959270683140225,15.255114977170313,4.576534493151094,10.67858048401922,0.533363811662092,0.9810369552209075,1.514400766882999,1.4547765455165391,1.4791838828206207,60.3448852570469,-0.011001960464454896,6223.857026213536,5991.1699899785735,122.29244016284589,55.71792607747883,54.67666999463868,23101.488343140914,7718.268723182144,1056.4338684112317,55.966866319387975,0.1556985878505286,14339.15202707169,-4.793985231010822e-08,6.269065289110642e-08,-2.5006838821894917e-09,-5.915665335365361e-08,-4.762446601290734e-07,1.4419496369464984,0.0001992988246191236,0.10117158288489882,3.9592704489230215,0.012864082904367734,0.012894227998165482,0.015031418682547572,0.001077841200223048,0.0003018182739208965,0.00011957929477147419,9.544971388528502e-05,-0.00016513330147495937,0.32375920759964183,2.5580523321256385,2.6
103.49999999999999,5.000558785734487e-08,1.428964506914364,0.00020942758725905149,0.13379880375378522,4.005664209221324,19.260779186391638,5.778233755917491,13.482545430474145,0.7255726303620935,1.3078199028521766,2.0333925332142697,1.4458801719789072,1.4740978901839648,57.23922100390023,-0.0005847957124842651,6424.858394750465,6108.207855736806,165.96677858687653,73.63404909529697,77.04971133148563,23858.8134917868,7297.188614685107,1332.0870420883289,74.00057030830838,0.21560622342656216,15247.275908366417,-2.8537424645591614e-09,-3.950088478532621e-09,1.4833103634259714e-08,-4.7505692379878894e-08,-2.4510678734530372e-08,1.4289645028364673,0.00020942758643179398,0.13379880573843675,4.0056640189294725,0.013113691701088934,0.013150609857986603,0.01598747968590812,0.0011229536946085845,0.0004258484921816351,0.00012715246319073209,9.513866628122579e-05,-0.00017202980381993515,0.35215029287762273,2.549716256336851,2.6
102.6,1.0619379790827136e-07,1.4140842051372284,0.00022075765206262235,0.17095341941878783,4.058376413677939,23.31915560006958,6.995746680020873,16.323408920048703,0.9483434200735815,1.6645470415767591,2.6128904616503417,1.4360576630355828,1.469174589102106,54.08084430070045,-0.008034917697159472,6655.980386778292,6243.313089063287,216.35370270276493,92.10730682999112,104.20628818224876,24714.09667231602,6866.524054892976,1610.5972726943658,92.61354241825543,0.28032390342953617,16261.239241761199,-4.099740769092364e-08,-5.524724133731951e-08,-7.711188521053458e-08,2.445065971912186e-08,-3.251147635980538e-07,1.4140841471634418,0.00022075763986637107,0.17095340623624738,4.05837651290792,0.013389042937916344,0.013434803075462113,0.017057007624782163,0.0011595474913129902,0.0005768155634107508,0.00013560826448934225,9.475206515386415e-05,-0.00017975980239384962,0.383808141040676,2.5393553461235596,2.6
101.69999999999999,1.426975565656636e-07,1.3968086635557615,0.00023351928546275994,0.21367221718270685,4.118751421881872,27.43790702195145,8.231372106585434,19.206534915366014,1.2083016755447455,2.055383601555531,3.2636852771002767,1.4250450044927827,1.4641872540400809,50.862093115909815,-0.014698522795470126,6922.874518427458,6399.964370191806,274.8593377781771,110.62201746052475,137.4287929969494,25686.14395589444,6424.590683688655,1892.5036886371806,111.2908348699116,0.3475186340047202,17401.288672932056,-8.254080341441039e-08,-9.172644532817742e-08,-6.336812108376222e-08,-3.3471613036795134e-08,-5.722354753095245e-07,1.3968085482620523,0.00023351926404286598,0.21367220364269993,4.118751284020618,0.013694128967777464,0.013751143207838313,0.01826184844640582,0.0011878030917555676,0.0007621334538837863,0.0001451155426552096,9.426412413942558e-05,-0.00018848342326637053,0.4194324729457598,2.5262785269366055,2.6
100.80000000000001,1.6779494204438527e-07,1.3764491671552577,0.0002480042973000598,0.263314935314549,4.189300182576003,31.627134553345265,9.488140366003579,22.138994187341684,1.514158685952415,2.4858459115949647,4.000004597547379,1.4125463686103221,1.4589810674247208,47.57286511523408,0.021774484709112585,7232.66125363326,6582.510208077961,343.32201541802215,128.3617491287269,178.46728100854955,26798.712721970307,5969.136150343825,2178.573623940262,129.21476087388626,0.41305243081289805,18693.075470770316,1.3549563737669246e-07,5.930199531434255e-08,-4.532769160014993e-09,7.911259181092589e-08,8.125198002985149e-07,1.3764497868539072,0.0002480039748355269,0.263313942035406,4.189227862814462,0.014033706152846218,0.01410488385292158,0.01962994507340833,0.001205869977469543,0.0009920169807235459,0.00015588821275375975,9.363697573993759e-05,-0.00019840316810271785,0.45993257034504603,2.509470949830327,2.6
99.9,7.39383253267889e-08,1.3520346355806798,0.0002645891739774792,0.32167447741217536,4.274334870665172,35.901469424010436,10.77044082720313,25.131028596807305,1.877998186999772,2.9633277694723565,4.841325956472127,1.3981659320977216,1.4534232077854792,44.198530533304016,-0.008835253560846468,7594.477595411918,6796.397447274083,424.28404285171905,144.0190842802048,229.77702100591097,28082.599102623462,5496.9525098500835,2470.0097548910467,145.07224601650134,0.4698244185212057,20169.796488427393,-5.97936393731402e-08,-1.532885707256071e-08,-3.945748450195907e-08,9.986475868473121e-09,-3.1461666096358876e-07,1.3520345547376085,0.0002645891699216296,0.3216744647197097,4.274334913350714,0.014413369055695374,0.014502314655813272,0.021197779696978836,0.0012097014022191801,0.0012809624357786895,0.00016820311516446451,9.281311654623257e-05,-0.00020978141651071568,0.5065163039908835,2.4873915234390327,2.6
